,loss,accuracy,binary_accuracy,categorical_accuracy,val_loss,val_accuracy,val_binary_accuracy,val_categorical_accuracy
54,0.19077210128307343,0.8911101818084717,0.5,0.8600595593452454,0.22355249524116516,0.9017857313156128,0.5,0.8660714030265808
55,0.18798670172691345,0.8894087672233582,0.5,0.8634623289108276,0.1781540811061859,0.9027777910232544,0.5,0.8710317611694336
56,0.1898241639137268,0.8966397047042847,0.5,0.8996171951293945,0.19052626192569733,0.8908730149269104,0.5,0.9583333134651184
57,0.18598344922065735,0.9004678726196289,0.5,0.8728200793266296,0.17861099541187286,0.9146825671195984,0.5,0.8353174328804016
58,0.18105068802833557,0.8940876126289368,0.5,0.8451722860336304,0.20104527473449707,0.908730149269104,0.5,0.8373016119003296
59,0.17855726182460785,0.9064227938652039,0.5,0.9145044684410095,0.19629089534282684,0.903769850730896,0.5,0.8680555820465088
60,0.1887701451778412,0.8957890272140503,0.5,0.9285410642623901,0.1908726990222931,0.8878968358039856,0.5,0.9692460298538208
61,0.17748050391674042,0.8915355205535889,0.5,0.874096155166626,0.18641448020935059,0.8938491940498352,0.5,0.8402777910232544
62,0.17686815559864044,0.9034453630447388,0.5,0.9081242084503174,0.2034057378768921,0.8670634627342224,0.5,0.9960317611694336
63,0.19890883564949036,0.8894087672233582,0.5,0.8872820138931274,0.17981140315532684,0.903769850730896,0.5,0.8521825671195984
64,0.18416503071784973,0.8949383497238159,0.5,0.8332624435424805,0.1786910742521286,0.903769850730896,0.5,0.858134925365448
65,0.17967621982097626,0.8957890272140503,0.5,0.8545299768447876,0.1734655201435089,0.9146825671195984,0.5,0.8373016119003296
66,0.1821230798959732,0.9017439484596252,0.5,0.8553807139396667,0.18321596086025238,0.9017857313156128,0.5,0.9077380895614624
67,0.17662478983402252,0.9008932113647461,0.5,0.8528285622596741,0.17267990112304688,0.91567462682724,0.5,0.8402777910232544
68,0.17797750234603882,0.9034453630447388,0.5,0.8502764701843262,0.17603887617588043,0.9067460298538208,0.5,0.8710317611694336
69,0.1853204220533371,0.9021692872047424,0.5,0.8745214939117432,0.17394791543483734,0.9077380895614624,0.5,0.8184523582458496
70,0.17892701923847198,0.8983411192893982,0.5,0.8596342206001282,0.18018238246440887,0.903769850730896,0.5,0.9335317611694336
